time,load,engPwr,batPwr,landPwr,powerDeficit,charge
110,1,415,-414,0.0,0.0,0.20575000000000002
110,1,415,-414,0.0,0.0,0.21150000000000002
110,1,415,-414,0.0,0.0,0.21725000000000003
110,1,415,-414,0.0,0.0,0.22300000000000003
110,1,415,-414,0.0,0.0,0.22875000000000004
110,1,415,-414,0.0,0.0,0.23450000000000004
110,1,415,-414,0.0,0.0,0.24025000000000005
110,1,415,-414,0.0,0.0,0.24600000000000005
110,1,415,-414,0.0,0.0,0.25175000000000003
110,1,415,-414,0.0,0.0,0.2575
110,1,415,-414,0.0,0.0,0.26325
110,1,415,-414,0.0,0.0,0.26899999999999996
110,1,415,-414,0.0,0.0,0.27474999999999994
110,1,415,-414,0.0,0.0,0.2804999999999999
110,1,415,-414,0.0,0.0,0.2862499999999999
110,1,415,-414,0.0,0.0,0.29199999999999987
110,1,415,-414,0.0,0.0,0.29774999999999985
110,1,415,-414,0.0,0.0,0.3034999999999998
110,1,415,-414,0.0,0.0,0.3092499999999998
110,1,415,-414,0.0,0.0,0.3149999999999998
110,1,415,-414,0.0,0.0,0.32074999999999976
110,1,415,-414,0.0,0.0,0.32649999999999973
110,1,415,-414,0.0,0.0,0.3322499999999997
110,1,415,-414,0.0,0.0,0.3379999999999997
110,1,415,-414,0.0,0.0,0.34374999999999967
110,1,415,-414,0.0,0.0,0.34949999999999964
110,1,415,-414,0.0,0.0,0.3552499999999996
110,1,415,-414,0.0,0.0,0.3609999999999996
110,1,415,-414,0.0,0.0,0.3667499999999996
110,1,415,-414,0.0,0.0,0.37249999999999955
110,1,415,-414,0.0,0.0,0.37824999999999953
110,1,415,-414,0.0,0.0,0.3839999999999995
110,1,415,-414,0.0,0.0,0.3897499999999995
110,1,415,-414,0.0,0.0,0.39549999999999946
110,1,415,-414,0.0,0.0,0.40124999999999944
110,1,415,-414,0.0,0.0,0.4069999999999994
110,1,415,-414,0.0,0.0,0.4127499999999994
110,1,415,-414,0.0,0.0,0.4184999999999994
110,1,415,-414,0.0,0.0,0.42424999999999935
110,1,415,-414,0.0,0.0,0.4299999999999993
110,1,415,-414,0.0,0.0,0.4357499999999993
110,1,415,-414,0.0,0.0,0.4414999999999993
110,1,415,-414,0.0,0.0,0.44724999999999926
110,1,415,-414,0.0,0.0,0.45299999999999924
110,1,415,-414,0.0,0.0,0.4587499999999992
110,1,415,-414,0.0,0.0,0.4644999999999992
110,1,415,-414,0.0,0.0,0.47024999999999917
110,1,415,-414,0.0,0.0,0.47599999999999915
110,1,415,-414,0.0,0.0,0.4817499999999991
110,1,415,-414,0.0,0.0,0.4874999999999991
110,1,415,-414,0.0,0.0,0.4932499999999991
110,1,415,-414,0.0,0.0,0.49899999999999906
110,1,415,-414,0.0,0.0,0.504749999999999
110,1,415,-414,0.0,0.0,0.5104999999999991
110,1,415,-414,0.0,0.0,0.5162499999999991
110,1,415,-414,0.0,0.0,0.5219999999999991
110,1,415,-414,0.0,0.0,0.5277499999999992
110,1,415,-414,0.0,0.0,0.5334999999999992
110,1,415,-414,0.0,0.0,0.5392499999999992
110,1,415,-414,0.0,0.0,0.5449999999999993
110,0,415,-415,0.0,0.0,0.5507638888888882
110,0,415,-415,0.0,0.0,0.5565277777777771
