time,load,engPwr,batPwr,landPwr,powerDeficit,charge
0.0,0.0,0.0,0.0,0.0,0.0,0.2
10.0,0.0,0.0,0.0,0.0,0.0,0.2
20.0,0.0,0.0,0.0,0.0,0.0,0.2
30.0,0.0,0.0,0.0,0.0,0.0,0.2
40.0,0.0,0.0,0.0,0.0,0.0,0.2
50.0,0.0,0.0,0.0,0.0,0.0,0.2
60.0,0.0,0.0,0.0,0.0,0.0,0.2
70.0,0.0,0.0,0.0,0.0,0.0,0.2
80.0,0.0,0.0,0.0,0.0,0.0,0.2
90.0,0.0,0.0,0.0,0.0,0.0,0.2
100.0,0.0,0.0,0.0,0.0,0.0,0.2
110.0,0.0,0.0,0.0,75.0,0.0,0.20104166666666667
120.0,0.0,0.0,0.0,75.0,0.0,0.20208333333333334
130.0,0.0,0.0,0.0,75.0,0.0,0.203125
140.0,0.0,0.0,0.0,75.0,0.0,0.20416666666666666
150.0,0.0,0.0,0.0,75.0,0.0,0.20520833333333333
160.0,0.0,0.0,0.0,75.0,0.0,0.20625
170.0,0.0,0.0,0.0,75.0,0.0,0.20729166666666665
180.0,0.0,0.0,0.0,75.0,0.0,0.20833333333333331
190.0,0.0,0.0,0.0,75.0,0.0,0.20937499999999998
200.0,0.0,0.0,0.0,75.0,0.0,0.21041666666666664
210.0,0.0,0.0,0.0,75.0,0.0,0.2114583333333333
220.0,0.0,0.0,0.0,75.0,0.0,0.21249999999999997
230.0,0.0,0.0,0.0,75.0,0.0,0.21354166666666663
240.0,0.0,0.0,0.0,75.0,0.0,0.2145833333333333
250.0,0.0,0.0,0.0,75.0,0.0,0.21562499999999996
260.0,0.0,0.0,0.0,75.0,0.0,0.21666666666666662
270.0,0.0,0.0,0.0,75.0,0.0,0.21770833333333328
280.0,0.0,0.0,0.0,75.0,0.0,0.21874999999999994
290.0,0.0,0.0,0.0,75.0,0.0,0.2197916666666666
300.0,0.0,0.0,0.0,75.0,0.0,0.22083333333333327
310.0,0.0,0.0,0.0,75.0,0.0,0.22187499999999993
320.0,0.0,0.0,0.0,75.0,0.0,0.2229166666666666
330.0,0.0,0.0,0.0,75.0,0.0,0.22395833333333326
340.0,0.0,0.0,0.0,75.0,0.0,0.22499999999999992
350.0,0.0,0.0,0.0,75.0,0.0,0.22604166666666659
360.0,0.0,0.0,0.0,75.0,0.0,0.22708333333333325
370.0,0.0,0.0,0.0,75.0,0.0,0.2281249999999999
380.0,0.0,0.0,0.0,75.0,0.0,0.22916666666666657
390.0,0.0,0.0,0.0,75.0,0.0,0.23020833333333324
400.0,0.0,0.0,0.0,75.0,0.0,0.2312499999999999
410.0,0.0,0.0,0.0,75.0,0.0,0.23229166666666656
420.0,0.0,0.0,0.0,75.0,0.0,0.23333333333333323
430.0,0.0,0.0,0.0,75.0,0.0,0.2343749999999999
440.0,0.0,0.0,0.0,75.0,0.0,0.23541666666666655
450.0,0.0,0.0,0.0,75.0,0.0,0.23645833333333321
460.0,0.0,0.0,0.0,75.0,0.0,0.23749999999999988
470.0,0.0,0.0,0.0,75.0,0.0,0.23854166666666654
480.0,0.0,0.0,0.0,75.0,0.0,0.2395833333333332
490.0,0.0,0.0,0.0,75.0,0.0,0.24062499999999987
500.0,0.0,0.0,0.0,75.0,0.0,0.24166666666666653
510.0,0.0,0.0,0.0,75.0,0.0,0.2427083333333332
520.0,0.0,0.0,0.0,75.0,0.0,0.24374999999999986
530.0,0.0,0.0,0.0,75.0,0.0,0.24479166666666652
540.0,0.0,0.0,0.0,75.0,0.0,0.24583333333333318
550.0,0.0,0.0,0.0,75.0,0.0,0.24687499999999984
560.0,0.0,0.0,0.0,75.0,0.0,0.2479166666666665
570.0,0.0,0.0,0.0,75.0,0.0,0.24895833333333317
580.0,0.0,0.0,0.0,75.0,0.0,0.24999999999999983
590.0,0.0,0.0,0.0,75.0,0.0,0.2510416666666665
600.0,0.0,0.0,0.0,75.0,0.0,0.25208333333333316
610.0,0.0,0.0,0.0,75.0,0.0,0.2531249999999998
620.0,0.0,0.0,0.0,75.0,0.0,0.2541666666666665
630.0,0.0,0.0,0.0,75.0,0.0,0.25520833333333315
640.0,0.0,0.0,0.0,75.0,0.0,0.2562499999999998
650.0,0.0,0.0,0.0,75.0,0.0,0.2572916666666665
660.0,0.0,0.0,0.0,75.0,0.0,0.25833333333333314
670.0,0.0,0.0,0.0,75.0,0.0,0.2593749999999998
680.0,0.0,0.0,0.0,75.0,0.0,0.26041666666666646
690.0,0.0,0.0,0.0,75.0,0.0,0.2614583333333331
700.0,0.0,0.0,0.0,75.0,0.0,0.2624999999999998
710.0,0.0,0.0,0.0,75.0,0.0,0.26354166666666645
720.0,0.0,0.0,0.0,75.0,0.0,0.2645833333333331
730.0,0.0,0.0,0.0,75.0,0.0,0.2656249999999998
740.0,0.0,0.0,0.0,75.0,0.0,0.26666666666666644
750.0,0.0,0.0,0.0,75.0,0.0,0.2677083333333331
760.0,0.0,0.0,0.0,75.0,0.0,0.26874999999999977
770.0,0.0,0.0,0.0,75.0,0.0,0.26979166666666643
780.0,0.0,0.0,0.0,75.0,0.0,0.2708333333333331
790.0,0.0,0.0,0.0,75.0,0.0,0.27187499999999976
800.0,0.0,0.0,0.0,75.0,0.0,0.2729166666666664
810.0,0.0,0.0,0.0,75.0,0.0,0.2739583333333331
820.0,0.0,0.0,0.0,75.0,0.0,0.27499999999999974
830.0,0.0,0.0,0.0,75.0,0.0,0.2760416666666664
840.0,0.0,0.0,0.0,75.0,0.0,0.27708333333333307
850.0,0.0,0.0,0.0,75.0,0.0,0.27812499999999973
860.0,0.0,0.0,0.0,75.0,0.0,0.2791666666666664
870.0,0.0,0.0,0.0,75.0,0.0,0.28020833333333306
880.0,0.0,0.0,0.0,75.0,0.0,0.2812499999999997
890.0,0.0,0.0,0.0,75.0,0.0,0.2822916666666664
900.0,0.0,0.0,0.0,75.0,0.0,0.28333333333333305
910.0,0.0,0.0,0.0,75.0,0.0,0.2843749999999997
920.0,0.0,0.0,0.0,75.0,0.0,0.2854166666666664
930.0,0.0,0.0,0.0,75.0,0.0,0.28645833333333304
940.0,0.0,0.0,0.0,75.0,0.0,0.2874999999999997
950.0,0.0,0.0,0.0,75.0,0.0,0.28854166666666636
960.0,0.0,0.0,0.0,75.0,0.0,0.289583333333333
970.0,0.0,0.0,0.0,75.0,0.0,0.2906249999999997
980.0,0.0,0.0,0.0,75.0,0.0,0.29166666666666635
990.0,0.0,0.0,0.0,75.0,0.0,0.292708333333333
1000.0,0.0,0.0,0.0,75.0,0.0,0.2937499999999997
1010.0,0.0,0.0,0.0,75.0,0.0,0.29479166666666634
1020.0,0.0,0.0,0.0,75.0,0.0,0.295833333333333
1030.0,0.0,0.0,0.0,75.0,0.0,0.29687499999999967
1040.0,0.0,0.0,0.0,75.0,0.0,0.29791666666666633
1050.0,0.0,0.0,0.0,75.0,0.0,0.298958333333333
1060.0,0.0,0.0,0.0,75.0,0.0,0.29999999999999966
1070.0,0.0,0.0,0.0,75.0,0.0,0.3010416666666663
1080.0,0.0,0.0,0.0,75.0,0.0,0.302083333333333
1090.0,0.0,0.0,0.0,75.0,0.0,0.30312499999999964
