time,load,engPwr,batPwr,landPwr,powerDeficit,charge
70,260,0,260,0.0,0.0,0.1963888888888889
70,258,0,258,0.0,0.0,0.19280555555555556
70,261,0,261,0.0,0.0,0.18918055555555557
70,259,0,259,0.0,0.0,0.18558333333333335
70,257,0,257,0.0,0.0,0.18201388888888892
70,254,0,254,0.0,0.0,0.17848611111111115
70,252,0,252,0.0,0.0,0.17498611111111115
70,253,0,253,0.0,0.0,0.17147222222222225
70,254,0,254,0.0,0.0,0.16794444444444448
70,254,0,254,0.0,0.0,0.1644166666666667
70,258,0,258,0.0,0.0,0.16083333333333338
70,257,0,257,0.0,0.0,0.15726388888888893
70,257,0,257,0.0,0.0,0.15369444444444447
70,254,0,254,0.0,0.0,0.1501666666666667
70,254,0,254,0.0,0.0,0.14663888888888893
70,250,415,-165,0.0,0.0,0.1489305555555556
70,247,415,-168,0.0,0.0,0.15126388888888892
70,248,415,-167,0.0,0.0,0.15358333333333338
70,250,415,-165,0.0,0.0,0.15587500000000004
70,251,415,-164,0.0,0.0,0.1581527777777778
70,248,415,-167,0.0,0.0,0.16047222222222227
70,245,415,-170,0.0,0.0,0.16283333333333339
70,245,415,-170,0.0,0.0,0.1651944444444445
70,247,415,-168,0.0,0.0,0.16752777777777783
70,249,415,-166,0.0,0.0,0.1698333333333334
70,247,415,-168,0.0,0.0,0.17216666666666672
70,249,415,-166,0.0,0.0,0.17447222222222228
70,247,415,-168,0.0,0.0,0.1768055555555556
70,252,415,-163,0.0,0.0,0.1790694444444445
70,50,415,-365,0.0,0.0,0.18413888888888894
70,51,415,-364,0.0,0.0,0.1891944444444445
70,52,415,-363,0.0,0.0,0.19423611111111116
70,54,415,-361,0.0,0.0,0.19925000000000007
70,57,415,-358,0.0,0.0,0.20422222222222228
70,58,415,-357,0.0,0.0,0.20918055555555562
70,457,415,42,0.0,0.0,0.2085972222222223
70,454,415,39,0.0,0.0,0.20805555555555563
70,459,415,44,0.0,0.0,0.20744444444444451
70,459,415,44,0.0,0.0,0.2068333333333334
70,453,415,38,0.0,0.0,0.20630555555555563
70,251,415,-164,0.0,0.0,0.2085833333333334
70,253,415,-162,0.0,0.0,0.2108333333333334
70,256,415,-159,0.0,0.0,0.21304166666666674
70,257,415,-158,0.0,0.0,0.21523611111111118
70,257,415,-158,0.0,0.0,0.21743055555555563
70,260,415,-155,0.0,0.0,0.2195833333333334
70,260,415,-155,0.0,0.0,0.2217361111111112
70,261,415,-154,0.0,0.0,0.22387500000000007
70,264,415,-151,0.0,0.0,0.2259722222222223
70,263,415,-152,0.0,0.0,0.22808333333333342
70,264,415,-151,0.0,0.0,0.23018055555555564
70,263,415,-152,0.0,0.0,0.23229166666666676
70,265,415,-150,0.0,0.0,0.23437500000000008
70,265,415,-150,0.0,0.0,0.2364583333333334
70,263,415,-152,0.0,0.0,0.23856944444444453
70,267,415,-148,0.0,0.0,0.2406250000000001
70,267,415,-148,0.0,0.0,0.24268055555555565
70,263,415,-152,0.0,0.0,0.24479166666666677
70,261,415,-154,0.0,0.0,0.24693055555555565
70,260,415,-155,0.0,0.0,0.24908333333333343
70,260,415,-155,0.0,0.0,0.2512361111111112
70,259,415,-156,0.0,0.0,0.25340277777777787
70,264,415,-151,0.0,0.0,0.25550000000000006
70,266,415,-149,0.0,0.0,0.2575694444444445
70,261,415,-154,0.0,0.0,0.25970833333333343
70,264,415,-151,0.0,0.0,0.2618055555555556
70,266,415,-149,0.0,0.0,0.2638750000000001
70,265,415,-150,0.0,0.0,0.2659583333333334
70,267,415,-148,0.0,0.0,0.26801388888888894
70,266,415,-149,0.0,0.0,0.2700833333333334
70,266,415,-149,0.0,0.0,0.27215277777777785
70,265,415,-150,0.0,0.0,0.2742361111111112
70,262,415,-153,0.0,0.0,0.27636111111111117
70,259,415,-156,0.0,0.0,0.2785277777777778
70,256,415,-159,0.0,0.0,0.28073611111111113
70,255,415,-160,0.0,0.0,0.28295833333333337
70,256,415,-159,0.0,0.0,0.2851666666666667
